,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,RETURN_ON_ASSET,RETURN_COM_EQY,SALES_REV_TURN,IS_EPS,FNCL_LVRG,BOOK_VAL_PER_SH,PX_TO_BOOK_RATIO,NET_WORTH_GROWTH,TOT_DEBT_TO_COM_EQY,LIQUIDITY
ESG_DISCLOSURE_SCORE,1.0,0.8559347027914802,0.8994313898671626,0.7559186385006011,0.08287225613376002,0.15840897923172167,0.0444974732441688,0.004148972407346607,0.3026702253421686,0.0004894511076833725,0.028942446894850572,0.001344427885111107,0.07402604483520431,0.05215805071406553,0.00027024168255214355,3.5468675554820147e-06
ENVIRON_DISCLOSURE_SCORE,0.8559347027914802,1.0,0.7469174273889445,0.3751195126365968,0.026686877920023947,0.030096523207018683,0.0031122537301487368,0.02698915434868808,0.33380216114830963,0.018195086040341923,0.03381933087137906,0.006312471188738459,0.012714199739553128,0.046165358363351915,0.011971339687587195,0.0002465699624551534
SOCIAL_DISCLOSURE_SCORE,0.8994313898671626,0.7469174273889445,1.0,0.5473789732388749,0.07206234489905136,0.12318134054591053,0.02333135335438187,0.02770004358534381,0.2627745511125179,0.01634115712462699,0.019057982276052057,0.0045791727540334835,0.03072820019700095,0.05489494540663899,0.009764950575685903,0.0080222555321382
GOVNCE_DISCLOSURE_SCORE,0.7559186385006011,0.3751195126365968,0.5473789732388749,1.0,0.12377662001235057,0.2738384930993823,0.08637219756969446,0.039608101614780136,0.15279063410591703,0.003673654779759999,0.021308974731712987,0.006224820869717154,0.1827678642481671,0.03263808853960745,0.004307629073107801,0.00024297115935490585
ALTMAN_Z_SCORE,0.08287225613376002,0.026686877920023947,0.07206234489905136,0.12377662001235057,1.0,0.6860156052758929,0.3306590138705916,0.2553002150223445,0.03423385045068323,0.015218954961180444,0.03164203600671808,0.003360196903876825,0.31001092975002703,0.21702995226913838,0.025843872725719065,0.07355663978177729
TOBIN_Q_RATIO,0.15840897923172167,0.030096523207018683,0.12318134054591053,0.2738384930993823,0.6860156052758929,1.0,0.11002001999164486,0.06217762723885099,0.030328102038251283,0.019967236868784568,0.015187802103984115,0.003586242188685889,0.5219872596365748,0.06720278714544244,0.009838065154544669,0.0037519364319000227
RETURN_ON_ASSET,0.0444974732441688,0.0031122537301487368,0.02333135335438187,0.08637219756969446,0.3306590138705916,0.11002001999164486,1.0,0.6659486948542989,0.0039005172128542937,0.008958694402967706,0.07293807217287637,0.004915879778632609,0.1089101682013298,0.09833068380911801,0.08728500600231685,0.025204563855520924
RETURN_COM_EQY,0.004148972407346607,0.02698915434868808,0.02770004358534381,0.039608101614780136,0.2553002150223445,0.06217762723885099,0.6659486948542989,1.0,0.009011645321569681,0.017726327938555903,0.1432495175669293,0.0030781693563255532,0.2967649262043119,0.008663828756906503,0.2501165094165299,0.024379918923806927
SALES_REV_TURN,0.3026702253421686,0.33380216114830963,0.2627745511125179,0.15279063410591703,0.03423385045068323,0.030328102038251283,0.0039005172128542937,0.009011645321569681,1.0,0.0031163758626345846,0.004584454161634915,0.00327380668527054,0.009514417140324725,0.021099870058922412,0.005382422777392701,0.017043478227272577
IS_EPS,0.0004894511076833725,0.018195086040341923,0.01634115712462699,0.003673654779759999,0.015218954961180444,0.019967236868784568,0.008958694402967706,0.017726327938555903,0.0031163758626345846,1.0,0.00044377425944774256,4.526415051074852e-05,0.010159736827318678,0.005644502432593833,0.0013271235713837946,5.4718317181485165e-05
FNCL_LVRG,0.028942446894850572,0.03381933087137906,0.019057982276052057,0.021308974731712987,0.03164203600671808,0.015187802103984115,0.07293807217287637,0.1432495175669293,0.004584454161634915,0.00044377425944774256,1.0,0.0013510167958839271,0.02497255412230305,0.08066010745547741,0.07649071295081705,0.014612877375851922
BOOK_VAL_PER_SH,0.001344427885111107,0.006312471188738459,0.0045791727540334835,0.006224820869717154,0.003360196903876825,0.003586242188685889,0.004915879778632609,0.0030781693563255532,0.00327380668527054,4.526415051074852e-05,0.0013510167958839271,1.0,0.0022130577531607842,0.0022272904682483843,0.000728653783414329,0.0013248724274146553
PX_TO_BOOK_RATIO,0.07402604483520431,0.012714199739553128,0.03072820019700095,0.1827678642481671,0.31001092975002703,0.5219872596365748,0.1089101682013298,0.2967649262043119,0.009514417140324725,0.010159736827318678,0.02497255412230305,0.0022130577531607842,1.0,0.04315833319480963,0.17806606455441756,0.00359623554311701
NET_WORTH_GROWTH,0.05215805071406553,0.046165358363351915,0.05489494540663899,0.03263808853960745,0.21702995226913838,0.06720278714544244,0.09833068380911801,0.008663828756906503,0.021099870058922412,0.005644502432593833,0.08066010745547741,0.0022272904682483843,0.04315833319480963,1.0,0.05128381534418999,0.0396597194832819
TOT_DEBT_TO_COM_EQY,0.00027024168255214355,0.011971339687587195,0.009764950575685903,0.004307629073107801,0.025843872725719065,0.009838065154544669,0.08728500600231685,0.2501165094165299,0.005382422777392701,0.0013271235713837946,0.07649071295081705,0.000728653783414329,0.17806606455441756,0.05128381534418999,1.0,0.009559446558227923
LIQUIDITY,3.5468675554820147e-06,0.0002465699624551534,0.0080222555321382,0.00024297115935490585,0.07355663978177729,0.0037519364319000227,0.025204563855520924,0.024379918923806927,0.017043478227272577,5.4718317181485165e-05,0.014612877375851922,0.0013248724274146553,0.00359623554311701,0.0396597194832819,0.009559446558227923,1.0
