,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,FNCL_LVRG,RETURN_ON_ASSET,BS_TOT_ASSET,PX_TO_BOOK_RATIO,Firm size,Liquidity
count,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0
mean,33.7511038961039,7.512097402597403,11.250366883116882,76.60153376623377,4.616611776616883,6.663504545454546,111030.53494285712,16.072285064935063,10.702896103896105,1.8867855896771268
std,9.83589348269188,13.284987162767427,3.2786351331732253,9.635592854560242,5.998680960381283,10.065811216849198,179604.46096285392,80.42323029110383,1.435374783964884,1.461316694449551
min,10.3306,-23.6847,3.4435,44.6429,1.0852,-17.4653,-38029.9341,-174.79,5.7513,-1.517446982809692
25%,29.08155,0.4228,9.693825,76.0987,1.5061,2.3573500000000003,19189.37575,1.39865,9.90475,0.9584767805633463
50%,33.05,1.4195,11.016649999999998,78.5972,2.08315,6.6427499999999995,39675.415,2.6636,10.5884,1.426754316469192
75%,37.4761,11.8695,12.492049999999999,83.5942,3.3601,10.1345,128454.9475,3.8731,11.763325,2.4706224273562643
max,71.2906,61.1598,23.7635,89.8555,23.3093,86.8126,1149051.3,566.6242,13.9544,7.843711125534102
+3_std,63.25878434417954,47.367058890899685,21.086272282636557,105.5083123299145,22.612654657760732,36.86093819600214,649843.9178314189,257.34197593824655,15.009020455790758,6.270735673025779
-3_std,4.24342344802826,-32.342864085704875,1.414461483597206,47.69475520255305,-13.379431104526969,-23.533929105093048,-427782.8479457047,-225.19740580837643,6.396771752001452,-2.497164493671526
